,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,City_State,City
3,2017,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1112,204,72.58,2.34,62.09,1.98,65.02,24,6,11968,4237,108,2693,159,4771,"Atlanta, GA",Atlanta
4,2017,1,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",729,126,47.75,2.86,36.34,0.99,38.06,2,0,6816,3096,103,1419,110,2088,"Austin, TX",Austin
6,2017,1,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",396,59,22.77,0.02,19.04,0,17.18,2,0,2200,1042,1,475,0,682,"Nashville, TN",Nashville
8,2017,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1965,322,109.4,5.95,113.71,0,92.94,47,1,15918,5786,280,3815,0,6037,"Boston, MA",Boston
10,2017,1,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",443,94,26.23,0.2,28.29,1.06,38.23,0,0,3983,1317,9,704,27,1926,"Baltimore, MD",Baltimore
12,2017,1,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",190,41,16.3,0,13.93,0,10.78,5,0,1968,928,0,415,0,625,"Cleveland, OH",Cleveland
13,2017,1,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7930,978,287.77,27.15,310.96,2.95,349.16,156,7,50098,17427,2421,9819,138,20293,"Charlotte, NC",Charlotte
14,2017,1,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",193,41,19.04,0,5.93,0,16.03,0,1,2212,1002,0,195,0,1015,"Columbus, OH",Columbus
18,2017,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2077,336,91.82,10.89,121.72,2.31,109.26,24,4,16440,5204,359,3552,149,7176,"Washington, DC",Washington
19,2017,1,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",821,170,40.99,2.62,82.45,0.19,43.74,10,2,8794,2242,200,3385,4,2963,"Denver, CO",Denver
